Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	1319.989690551	1320.066660926	731.707	23414.634	0.0770	22682.927		1
1	Spectrogram 1	1	1319.989690551	1320.066660926	731.707	23414.634	0.0770	22682.927	-34.76	1
2	Waveform 1	1	1320.073231568	1320.156772585	878.049	23121.951	0.0835	22243.902		2
2	Spectrogram 1	1	1320.073231568	1320.156772585	878.049	23121.951	0.0835	22243.902	-35.62	2
3	Waveform 1	1	1320.172729858	1320.242190928	1024.390	23414.634	0.0695	22390.244		3
3	Spectrogram 1	1	1320.172729858	1320.242190928	1024.390	23414.634	0.0695	22390.244	-35.47	3
4	Waveform 1	1	1320.249700233	1320.391438362	1170.732	23560.976	0.1417	22390.244		4
4	Spectrogram 1	1	1320.249700233	1320.391438362	1170.732	23560.976	0.1417	22390.244	-36.34	4
5	Waveform 1	1	1322.803803147	1322.886405501	439.024	23560.976	0.0826	23121.951		5
5	Spectrogram 1	1	1322.803803147	1322.886405501	439.024	23560.976	0.0826	23121.951	-34.55	5
6	Waveform 1	1	1322.892976143	1322.979333149	731.707	23414.634	0.0864	22682.927		6
6	Spectrogram 1	1	1322.892976143	1322.979333149	731.707	23414.634	0.0864	22682.927	-33.92	6
7	Waveform 1	1	1322.988719780	1323.061935502	731.707	23560.976	0.0732	22829.268		7
7	Spectrogram 1	1	1322.988719780	1323.061935502	731.707	23560.976	0.0732	22829.268	-33.12	7
8	Waveform 1	1	1323.067567481	1323.182084380	878.049	23414.634	0.1145	22536.585		8
8	Spectrogram 1	1	1323.067567481	1323.182084380	878.049	23414.634	0.1145	22536.585	-33.90	8
9	Waveform 1	1	1329.881324569	1329.960172270	1024.390	23707.317	0.0788	22682.927		9
9	Spectrogram 1	1	1329.881324569	1329.960172270	1024.390	23707.317	0.0788	22682.927	-32.91	9
10	Waveform 1	1	1329.964865585	1330.049345265	439.024	23560.976	0.0845	23121.951		10
10	Spectrogram 1	1	1329.964865585	1330.049345265	439.024	23560.976	0.0845	23121.951	-33.34	10
11	Waveform 1	1	1330.056854570	1330.119744998	585.366	23268.293	0.0629	22682.927		11
11	Spectrogram 1	1	1330.056854570	1330.119744998	585.366	23268.293	0.0629	22682.927	-32.01	11
12	Waveform 1	1	1330.127254303	1330.274624411	1024.390	23560.976	0.1474	22536.585		12
12	Spectrogram 1	1	1330.127254303	1330.274624411	1024.390	23560.976	0.1474	22536.585	-33.98	12
13	Waveform 1	1	1338.601506747	1338.682231774	1317.073	23121.951	0.0807	21804.878		13
13	Spectrogram 1	1	1338.601506747	1338.682231774	1317.073	23121.951	0.0807	21804.878	-34.76	13
14	Waveform 1	1	1338.690679742	1338.787362042	1463.415	22975.610	0.0967	21512.195		14
14	Spectrogram 1	1	1338.690679742	1338.787362042	1463.415	22975.610	0.0967	21512.195	-36.69	14
15	Waveform 1	1	1338.796748673	1338.859639102	1463.415	23121.951	0.0629	21658.537		15
15	Spectrogram 1	1	1338.796748673	1338.859639102	1463.415	23121.951	0.0629	21658.537	-35.49	15
16	Waveform 1	1	1338.866209744	1339.006070547	146.341	23707.317	0.1399	23560.976		16
16	Spectrogram 1	1	1338.866209744	1339.006070547	146.341	23707.317	0.1399	23560.976	-36.80	16
