Date,AM/PM,Time start,Time end,Duration,FOCAL ID,AVIARY,Start time,End time,Vocalisation,Social Behaviour,Behaviour,Actor,Receiver,Tolerance,Location,Nearest Neighbour,Distance to NN,Notes,Season,
4/23/18,AM,9:17,,0:30,Bede,2,352.496,352.885,YI,N,RE, -, -, -,BR,BER,<3, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,375.941,376.211,YI,N,RE, -, -, -,BR,BER,<5, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,378.981,379.273,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,381.234,381.519,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,383.344,383.651,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,386.469,386.812,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,387.522,387.663,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,390.089,390.356,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,392.138,392.413,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,393.01,393.302,YI,N,RE, -, -, -,BR,GEO,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,402.688,402.995,YI,N,RE, -, -, -,BR,BER,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,406.139,406.529,YI,N,RE, -, -, -,BR,BER,BL, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,409.594,409.98,YI,N,RE, -, -, -,BR,BER,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,411.93,412.247,YI,N,RE, -, -, -,BR,BER,<1, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,414.822,414.991,YI,N,RE, -, -, -,BR,BER,BL, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,419.095,419.42,YI,N,RE, -, -, -,BR,BER,WT, -,Breeding,
4/23/18,AM,9:17,,0:30,Bede,2,669.139,669.511,YI,N,RE, -, -, -,BR,BER,<2, -,Breeding,
4/19/18,AM,9:18,,0:30,Bette,3, -, -, -, -, -, -, -, -, -, -, -, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,167.117,167.409,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,169.395,169.716,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,171.336,171.635,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,173.694,174.109,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,174.825,175.1,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,176.629,176.921,YI,N,RE, -, -, -,GR,BOR,<4, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,181.5,181.843,YI,N,RE, -, -, -,GR,BOR,<5, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,183.825,184.186,YI,N,RE, -, -, -,GR,B,<5, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,186.505,186.829,YI,N,RE, -, -, -,GR,BOR,<5, -,Breeding,
5/10/18,AM,9:18,,0:30,Marge,1,213.133,213.414,YI,N,FOR, -, -, -,GR,BOR,<4, -,Breeding,
4/17/18,AM,9:19,,0:30,Gus,2,24.744,28.227,CH,N,RE, -, -, -,BR,GEO,<2, -,Breeding,
4/17/18,AM,9:19,,0:30,Gus,2,339.242,339.538, -,Y,AF,GEO,GUS, -,BR,GEO,WT, -,Breeding,
4/17/18,AM,9:19,,0:30,Gus,2,381.253,383.64,CH,N,RE, -, -, -,BR,GEO,WT, -,Breeding,
4/17/18,AM,9:19,,0:30,Gus,2,417.56,428.76,CH,N,RE, -, -, -,BR,GEO,WT, -,Breeding,
4/17/18,AM,9:19,,0:30,Gus,2,519.195,530.874,CH,N,RE, -, -, -,BR,GEO,WT, -,Breeding,
