"","Date","AM.PM","Time.start","Time.end","Duration","FOCAL.ID","AVIARY","Start.time","End.time","Vocalisation","Social.Behaviour","Behaviour","Actor","Receiver","Tolerance","Location","Nearest.Neighbour","Distance.to.NN","Notes","Season","X"
"65","5/18/18","AM","9:21","","0:30","George","2","149.244","149.738","SG","N","RE"," -"," -"," -","GR","GUS","<2"," -","Breeding",NA
"213","3/23/18","AM","9:41","","0:30","George","2","1319.959","1320.43","SG","N","RE"," -"," -"," -","GR","GUS","<1"," -","Breeding",NA
"214","3/23/18","AM","9:41","","0:30","George","2","1322.803","1323.228","SG","N","RE"," -"," -"," -","GR","GUS","<1"," -","Breeding",NA
"215","3/23/18","AM","9:41","","0:30","George","2","1329.874","1330.29","SG","N","RE"," -"," -"," -","GR","GUS","<1"," -","Breeding",NA
"216","3/23/18","AM","9:41","","0:30","George","2","1338.579","1339.008","SG","N","RE"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"247","4/19/18","AM","11:22","","0:30","George","2","504.417","504.766","SG","N","RE"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"248","4/19/18","AM","11:22","","0:30","George","2","520.699","521.194","SG","N","RE"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"249","4/19/18","AM","11:22","","0:30","George","2","523.699","524.183","SG","N","RE"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"250","4/19/18","AM","11:22","","0:30","George","2","533.562","533.93","SG","N","RE"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"254","4/19/18","AM","11:22","","0:30","George","2","1104.595","1104.981","SG","N","RE"," -"," -"," -","GR","GUS","<2"," -","Breeding",NA
"255","4/19/18","AM","11:22","","0:30","George","2","1109.955","1110.467","SG","N","RE"," -"," -"," -","BR","GUS","<2"," -","Breeding",NA
"708","4/30/18","PM","13:45","","0:30","George","2","1253.006","1253.576","SG","N","RE"," -"," -"," -","BR","GUS","BL"," -","Breeding",NA
"741","5/10/18","PM","15:19","","0:30","George","2","465.486","466.027","SG","N","RE"," -"," -"," -","BR","BER","<3"," -","Breeding",NA
"746","5/10/18","PM","15:19","","0:30","George","2","886.561","887.055","SG","N","RE"," -"," -"," -","GR","GUS","<4"," -","Breeding",NA
"747","5/10/18","PM","15:19","","0:30","George","2","891.98","892.359","SG","N","TR"," -"," -"," -","GR","GUS","<4"," -","Breeding",NA
"748","5/10/18","PM","15:19","","0:30","George","2","894.673","895.121","SG","N","TR"," -"," -"," -","GR","GUS","<4"," -","Breeding",NA
"749","5/10/18","PM","15:19","","0:30","George","2","897.526","897.937","SG","N","RE"," -"," -"," -","GR","GUS","<4"," -","Breeding",NA
"750","5/10/18","PM","15:19","","0:30","George","2","911.245","911.758","SG","N","TR"," -"," -"," -","GR","GUS","<3"," -","Breeding",NA
"751","5/10/18","PM","15:19","","0:30","George","2","1325.187","1325.689","SG","Y","APR","GEO","BED","TOLNEG","GR","BED","WT"," -","Breeding",NA
"752","5/10/18","PM","15:19","","0:30","George","2","1336.466","1336.92","SG","N","TR"," -"," -"," -","GR","BED","<1"," -","Breeding",NA
"754","5/10/18","PM","15:19","","0:30","George","2","1527.76","1528.265","SG","N","RE"," -"," -"," -","GR","BED","<3"," -","Breeding",NA
"755","5/10/18","PM","15:19","","0:30","George","2","1529.492","1529.928","SG","N","RE"," -"," -"," -","GR","BED","<3"," -","Breeding",NA
"800","3/7/18","PM","15:29","","0:30","George","2","1121.225","1121.835","SG","N","FOR"," -"," -"," -","GR","GUS","<1","OTHER JACKDAWS VOX ALSO","Breeding",NA
"802","3/7/18","PM","15:29","","0:30","George","2","1316.145","1316.619","SG","N","RE"," -"," -"," -","BR","GUS","<1"," -","Breeding",NA
"1331","11/13/17","AM","9:28","9:58","0:30","George","2","712.01","712.92","SG","N","RE"," -"," -"," -","BR","GUS","<1"," -","Non",NA
"1337","11/13/17","AM","9:28","9:58","0:30","George","2","854.82","855.38","SG","N","RE"," -"," -"," -","BR","GUS","WT","Attacking net between av. 2 and 3","Non",NA
"1338","11/13/17","AM","9:28","9:58","0:30","George","2","857.21","857.7","SG","N","RE"," -"," -"," -","BR","GUS","WT","Attacking net between av. 2 and 4","Non",NA
"1339","11/13/17","AM","9:28","9:58","0:30","George","2","861.34","861.84","SG","N","RE"," -"," -"," -","BR","GUS","WT","Attacking net between av. 2 and 5","Non",NA
"1354","11/13/17","AM","9:28","9:58","0:30","George","2","1129.1","1129.8","SG","N","RE"," -"," -"," -","BR","GUS","WT"," -","Non",NA
"1370","11/13/17","AM","9:28","9:58","0:30","George","2","1240.03","1240.74","SG","N","RE"," -"," -"," -","BR","GUS","WT"," -","Non",NA
"1379","11/13/17","AM","9:28","9:58","0:30","George","2","1600.45","1601.02","SG","N","RE"," -"," -"," -","GR","GUS","<1"," -","Non",NA
"1484","11/21/17","AM","11:23","11:53","0:30","George","2","229.74","230.17","SG","N","RE"," -"," -"," -","BR","GUS","<1"," -","Non",NA
