Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	712.289354675	712.366447449	146.341	23560.976	0.0771	23414.634		1
1	Spectrogram 1	1	712.289354675	712.366447449	146.341	23560.976	0.0771	23414.634	-36.85	1
2	Waveform 1	1	712.381068492	712.447527780	439.024	23268.293	0.0665	22829.268		2
2	Spectrogram 1	1	712.381068492	712.447527780	439.024	23268.293	0.0665	22829.268	-33.65	2
3	Waveform 1	1	712.475440680	712.544558339	439.024	22682.927	0.0691	22243.902		3
3	Spectrogram 1	1	712.475440680	712.544558339	439.024	22682.927	0.0691	22243.902	-33.97	3
4	Waveform 1	1	712.555191825	712.657539128	439.024	22536.585	0.1023	22097.561		4
4	Spectrogram 1	1	712.555191825	712.657539128	439.024	22536.585	0.1023	22097.561	-34.20	4
5	Waveform 1	1	854.871685634	854.966057822	585.366	18439.024	0.0944	17853.659		5
5	Spectrogram 1	1	854.871685634	854.966057822	585.366	18439.024	0.0944	17853.659	-39.09	5
6	Waveform 1	1	854.974032937	855.061759196	439.024	15951.220	0.0877	15512.195		6
6	Spectrogram 1	1	854.974032937	855.061759196	439.024	15951.220	0.0877	15512.195	-38.57	6
7	Waveform 1	1	855.073721868	855.130876855	439.024	15951.220	0.0572	15512.195		7
7	Spectrogram 1	1	855.073721868	855.130876855	439.024	15951.220	0.0572	15512.195	-36.43	7
8	Waveform 1	1	857.211051217	857.289473176	1317.073	16682.927	0.0784	15365.854		8
8	Spectrogram 1	1	857.211051217	857.289473176	1317.073	16682.927	0.0784	15365.854	-39.39	8
9	Waveform 1	1	857.300106662	857.375870250	585.366	22975.610	0.0758	22390.244		9
9	Spectrogram 1	1	857.300106662	857.375870250	585.366	22975.610	0.0758	22390.244	-36.04	9
10	Waveform 1	1	857.397137222	857.462267323	3073.171	22975.610	0.0651	19902.439		10
10	Spectrogram 1	1	857.397137222	857.462267323	3073.171	22975.610	0.0651	19902.439	-48.68	10
11	Waveform 1	1	857.474229995	857.591198341	878.049	22682.927	0.1170	21804.878		11
11	Spectrogram 1	1	857.474229995	857.591198341	878.049	22682.927	0.1170	21804.878	-37.14	11
12	Waveform 1	1	861.372729967	861.456468669	1170.732	18146.341	0.0837	16975.610		12
12	Spectrogram 1	1	861.372729967	861.456468669	1170.732	18146.341	0.0837	16975.610	-39.09	12
13	Waveform 1	1	861.467102155	861.548182486	1609.756	21219.512	0.0811	19609.756		13
13	Spectrogram 1	1	861.467102155	861.548182486	1609.756	21219.512	0.0811	19609.756	-39.68	13
14	Waveform 1	1	861.562803529	861.621287702	1756.098	18000.000	0.0585	16243.902		14
14	Spectrogram 1	1	861.562803529	861.621287702	1756.098	18000.000	0.0585	16243.902	-38.06	14
15	Waveform 1	1	861.625275259	861.754206277	1024.390	20926.829	0.1289	19902.439		15
15	Spectrogram 1	1	861.625275259	861.754206277	1024.390	20926.829	0.1289	19902.439	-39.60	15
16	Waveform 1	1	1129.155284033	1129.229718435	1463.415	13317.073	0.0744	11853.659		16
16	Spectrogram 1	1	1129.155284033	1129.229718435	1463.415	13317.073	0.0744	11853.659	-36.89	16
17	Waveform 1	1	1129.228389249	1129.298836093	1463.415	22975.610	0.0704	21512.195		17
17	Spectrogram 1	1	1129.228389249	1129.298836093	1463.415	22975.610	0.0704	21512.195	-37.88	17
18	Waveform 1	1	1129.322761437	1129.401183396	1317.073	22536.585	0.0784	21219.512		18
18	Spectrogram 1	1	1129.322761437	1129.401183396	1317.073	22536.585	0.0784	21219.512	-36.71	18
19	Waveform 1	1	1129.421121182	1129.480934541	0.000	23414.634	0.0598	23414.634		19
19	Spectrogram 1	1	1129.421121182	1129.480934541	0.000	23414.634	0.0598	23414.634	-35.65	19
20	Waveform 1	1	1129.491568027	1129.636449274	439.024	23414.634	0.1449	22975.610		20
20	Spectrogram 1	1	1129.491568027	1129.636449274	439.024	23414.634	0.1449	22975.610	-37.90	20
21	Waveform 1	1	1240.126311269	1240.204733228	0.000	23268.293	0.0784	23268.293		21
21	Spectrogram 1	1	1240.126311269	1240.204733228	0.000	23268.293	0.0784	23268.293	-38.44	21
22	Waveform 1	1	1240.216695900	1240.277838444	731.707	23414.634	0.0611	22682.927		22
22	Spectrogram 1	1	1240.216695900	1240.277838444	731.707	23414.634	0.0611	22682.927	-36.38	22
23	Waveform 1	1	1240.291130302	1240.366893890	585.366	23560.976	0.0758	22975.610		23
23	Spectrogram 1	1	1240.291130302	1240.366893890	585.366	23560.976	0.0758	22975.610	-35.15	23
24	Waveform 1	1	1240.374869004	1240.471899564	292.683	23707.317	0.0970	23414.634		24
24	Spectrogram 1	1	1240.374869004	1240.471899564	292.683	23707.317	0.0970	23414.634	-36.46	24
25	Waveform 1	1	1600.503199092	1600.582950237	439.024	23707.317	0.0798	23268.293		25
25	Spectrogram 1	1	1600.503199092	1600.582950237	439.024	23707.317	0.0798	23268.293	-37.28	25
26	Waveform 1	1	1600.592254537	1600.682639168	585.366	23560.976	0.0904	22975.610		26
26	Spectrogram 1	1	1600.592254537	1600.682639168	585.366	23560.976	0.0904	22975.610	-37.78	26
27	Waveform 1	1	1600.694601840	1600.758402756	878.049	23121.951	0.0638	22243.902		27
27	Spectrogram 1	1	1600.694601840	1600.758402756	878.049	23121.951	0.0638	22243.902	-37.63	27
28	Waveform 1	1	1600.770365428	1600.939172018	878.049	23414.634	0.1688	22536.585		28
28	Spectrogram 1	1	1600.770365428	1600.939172018	878.049	23414.634	0.1688	22536.585	-40.90	28
